NOME;INSTITUICAO_ENSINO_ALUNO_2020;IDADE_ALUNO_2020;ANOS_PM_2020;FASE_TURMA_2020;PONTO_VIRADA_2020;INDE_2020;INDE_CONCEITO_2020;PEDRA_2020;DESTAQUE_IEG_2020;DESTAQUE_IDA_2020;DESTAQUE_IPV_2020;IAA_2020;IEG_2020;IPS_2020;IDA_2020;IPP_2020;IPV_2020;IAN_2020;FASE_2021;TURMA_2021;INSTITUICAO_ENSINO_ALUNO_2021;SINALIZADOR_INGRESSANTE_2021;PEDRA_2021;INDE_2021;IAA_2021;IEG_2021;IPS_2021;IDA_2021;IPP_2021;REC_AVAL_1_2021;REC_AVAL_2_2021;REC_AVAL_3_2021;REC_AVAL_4_2021;PONTO_VIRADA_2021;IPV_2021;IAN_2021;NIVEL_IDEAL_2021;DEFASAGEM_2021;FASE_2022;TURMA_2022;ANO_INGRESSO_2022;BOLSISTA_2022;INDE_2022;CG_2022;CF_2022;CT_2022;PEDRA_2022;DESTAQUE_IEG_2022;DESTAQUE_IDA_2022;DESTAQUE_IPV_2022;IAA_2022;IEG_2022;IPS_2022;IDA_2022;NOTA_PORT_2022;NOTA_MAT_2022;NOTA_ING_2022;QTD_AVAL_2022;IPP_2022;REC_AVAL_1_2022;REC_AVAL_2_2022;REC_AVAL_3_2022;REC_AVAL_4_2022;INDICADO_BOLSA_2022;PONTO_VIRADA_2022;IPV_2022;IAN_2022;NIVEL_IDEAL_2022
ALUNO-1;Escola Pública;11;2;2H;Não;7,88;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8,5;8.7;7.5;7;5,94;7,75;10;2.0;G;Rede Decisão;Ingressante;Ametista;7.319;7.5;6.3;6.9;8.8;7.7;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.1;5.0;Nível 3 (7o e 8o ano);-1.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-2;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;K;2022.0;Não;7,68;245.0;66.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;7,58;7.5;8,82;8,2;9,43;0;2.0;5,63;Mantido na Fase + Bolsa;Mantido na Fase atual;;;Sim;Não;7,92;5.0;Fase 2 (5º e 6º ano)
ALUNO-3;Escola Pública;12;2;3H;Não;7,86;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7,92;8.9;7.5;5,5;8,13;8,11;10;3.0;F;Escola Pública;Veterano;Ametista;7.021;7.1;6.9;6.3;5.6;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.2;10.0;Nível 3 (7o e 8o ano);0.0;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
ALUNO-4;Escola Pública;10;2;1D;Não;5,08;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8;4.1;6.875;0;7,19;7,75;5;;;;;;;;;;;;;;;;;;;;;2.0;J;2022.0;Não;7,12;451.0;69.0;3.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;8,07;7.5;5,08;5;5,17;0;3.0;6,25;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;;Não;Não;8,06;5.0;Fase 3 (7º e 8º ano)
ALUNO-5;Escola Pública;10;1;2M;Não;8,08;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7,5;8;7.5;7,5;8,44;8,17;10;2.0;L;Escola Pública;Veterano;Ametista;7.399;7.4;7.5;7.5;5.4;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;10.0;Nível 2 (5o e 6o ano);0.0;2.0;L;2019.0;Não;7,23;415.0;61.0;12.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;6,42;8,56;7.5;7,08;6,67;7,5;0;3.0;6,46;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,83;5.0;Fase 3 (7º e 8º ano)
ALUNO-6;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;2.0;K;2022.0;Não;7,74;221.0;35.0;2.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9;9,33;7.5;5,5;3;8;0;3.0;6,25;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;;Não;Não;7,5;10.0;Fase 2 (5º e 6º ano)
ALUNO-7;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;1.0;U;2022.0;Não;7,41;357.0;93.0;7.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;1;9,31;7.5;5,58;4,67;6,5;0;2.0;5,94;Promovido de Fase;Promovido de Fase;;;Não;Não;7,92;5.0;Fase 2 (5º e 6º ano)
ALUNO-8;Rede Decisão/União;14;3;4L;Sim;8,38;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8,33;9.9;4.375;7,33;8,75;8,94;10;5.0;L;Rede Decisão;Veterano;Topázio;8.269;8.8;8.6;7.5;7.1;8.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;8.5;10.0;Nível 5 (1o EM);0.0;5.0;K;2017.0;Sim;7,29;397.0;26.0;6.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9,17;8,27;5.0;7,14;6,5;7,67;7,27;4.0;7,66;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase;Não;Não;7,63;5.0;Fase 6 (2º EM)
ALUNO-9;;;;;;0;;;;;;0;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0.0;Z;2022.0;Não;5,67;767.0;184.0;9.0;Quartzo;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9;6,82;5.0;2,13;2,47;1,8;0;2.0;3,75;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;5,5;10.0;ALFA  (2º e 3º ano)
ALUNO-10;Escola Pública;13;1;3B;Não;5,16;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;5,83;5.2;3.75;0;7,97;6,83;10;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;;0;0;0;0;;0;;;;;;;0;;
